site,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,#flowers,ovule.exp1,date.oe1,date.harvest,total.fruits,#fruit.collected,trait,fl.count.sharp,dev.seed.sharp,undev.seed.sharp,weight.sharp,dev.seed.rest,undev.seed,weight.rest,
AveryPicnic,control,south,Potentilla,26,O,open,7/26/19,,,,,,,,,,,,,577,,0.119,
AveryPicnic,control,south,Potentilla,25,N,open,7/26/19,,,,,,,,,,,,,209,,0.042,
AveryPicnic,control,south,Potentilla,25,O,open,7/26/19,,,,,,,,,2,42,,0.009,84,,0.037,
AveryPicnic,control,south,Potentilla,9,E,open,7/30/19,,,,,,,,,,,,,42,,0.013,
AveryPicnic,control,south,Potentilla,8,N,open,7/26/19,,,,,,,,,,,,,109,,0.025,
AveryPicnic,control,south,Potentilla,7,G,open,8/2/19,,,,,,,,,,,,,49,,0.007,
AveryPicnic,control,south,Potentilla,7,I,open,7/30/19,,,,,,,,,,,,,120,,0.019,
AveryPicnic,control,south,Potentilla,5,B,open,8/2/19,,,,,,,,,,,,,48,,0.016,
Meridian,manip,south,Potentilla,29,F,open-hand,7/25/19,8/2/19,,,8/6/19,,,,,,,,,146,,0.047,
Meridian,manip,south,Potentilla,24,F,open-hand,7/25/19,8/2/19,,,8/6/19,,,,,,,,,266,,0.096,
Meridian,manip,south,Potentilla,20,O,open-hand,7/25/19,8/6/19,,,8/6/19,,,,,,,,,259,,0.094,
Meridian,manip,south,Potentilla,18,B,open-hand,7/29/19,8/2/19,,,8/6/19,,,,,,,,,36,,0.017,
Meridian,manip,south,Potentilla,16,J,open-hand,7/25/19,8/6/19,,,8/6/19,,,,,,,,,53,,0.022,
Meridian,manip,south,Potentilla,9,L,open-hand,7/29/19,8/2/19,,,8/6/19,,,,,,,,,53,,0.025,
Meridian,manip,south,Potentilla,4,N,open-hand,7/25/19,7/29/19,,,8/6/19,,,,,,,,,85,,0.028,
Meridian,manip,south,Potentilla,7,O,open-hand,7/29/19,,,,8/6/19,,,,,3,55,,0.009,68,,0.023,
Meridian,manip,south,Potentilla,28,L,open,7/25/19,7/29/19,,,8/6/19,,,,,,,,,216,,0.068,
Meridian,manip,south,Potentilla,24,P,open,7/25/19,,,,8/6/19,,,,,,,,,583,,0.219,
Meridian,manip,south,Potentilla,20,K,open,7/29/19,8/2/19,,,8/6/19,,,,,,,,,197,,0.074,
Meridian,manip,south,Potentilla,18,D,open,7/29/19,,,,8/6/19,,,,,,,,,96,,0.03,
Meridian,manip,south,Potentilla,16,F,open,7/25/19,8/2/19,,,8/6/19,,,,,,,,,87,,0.036,
Meridian,manip,south,Potentilla,9,G,open,7/25/19,7/29/19,,,8/6/19,,,,,,,,,59,,0.023,
Meridian,manip,south,Potentilla,4,G,open,7/25/19,8/6/19,,,8/6/19,,,,,,,,,124,,0.054,
Meridian,manip,south,Potentilla,7,F,open,7/29/19,8/2/19,,,8/6/19,,,,,,,,,132,,0.073,
Meridian,control,north,Potentilla,1,M,open-hand,7/25/19,,,,8/6/19,,,,,1,11,,0.002,28,,0.007,
Meridian,control,north,Potentilla,6,I,open-hand,7/29/19,8/6/19,,,8/6/19,,,,,,,,,13,,0,
Meridian,control,north,Potentilla,9,P,open-hand,7/25/19,,,,8/6/19,,,,,,,,,22,,0.007,
Meridian,control,north,Potentilla,13,P,open-hand,7/25/19,8/2/19,,,8/6/19,,,,,,,,,46,,0.007,
Meridian,control,north,Potentilla,16,I,open-hand,7/29/19,8/2/19,,,8/6/19,,,,,,,,,158,,0.035,
Meridian,control,north,Potentilla,21,G,open-hand,7/29/19,,,,8/6/19,,,,,,,,,75,,0.009,
Meridian,control,north,Potentilla,23,H,open-hand,7/25/19,,,,8/6/19,,,,,,,,,,,,
Meridian,control,north,Potentilla,26,H,open-hand,,8/6/19,,,,,,,,,,,,30,,0.005,
Meridian,control,north,Potentilla,1,N,open,7/25/19,,,,8/6/19,,,,,,,,,41,,0.009,
Meridian,control,north,Potentilla,6,L,open,7/29/19,8/6/19,,,8/6/19,,,,,,,,,174,,0.066,
Meridian,control,north,Potentilla,9,P,open,7/25/19,,,,8/6/19,,,,,,,,,175,,0.093,
Meridian,control,north,Potentilla,13,N,open,7/25/19,8/6/19,,,8/6/19,,,,,,,,,63,,0.009,
Meridian,control,north,Potentilla,16,D,open,7/29/19,8/6/19,,,8/6/19,,,,,,,,,103,,0.026,
Meridian,control,north,Potentilla,21,G,open,7/29/19,,,,8/6/19,,,,,,,,,,,,
Meridian,control,north,Potentilla,23,F,open,7/25/19,,,,8/6/19,,,,,,,,,2,,0,
Meridian,control,north,Potentilla,26,L,open,7/29/19,,,,,,,,,,,,,59,,0.006,
WG3C,manip,south,Potentilla,2,E,open-hand,7/25/19,8/6/19,12,,,,,,,,,,,142,,0.043,
WG3C,manip,south,Potentilla,4,K,open-hand,7/25/19,8/6/19,4,,,,,,,,,,,44,,0.011,
WG3C,manip,south,Potentilla,8,E,open-hand,7/25/19,8/6/19,,,,,,,,,,,,138,,0.062,
WG3C,manip,south,Potentilla,13,J,open-hand,7/25/19,,,,,,,,,,,,,69,,0.014,
WG3C,manip,south,Potentilla,17,C,open-hand,7/25/19,8/6/19,11,,,,,,,,,,,247,,0.1,
WG3C,manip,south,Potentilla,20,G,open-hand,7/25/19,,,,,,,,,,,,,299,,0.097,
WG3C,manip,south,Potentilla,23,H,open-hand,7/29/19,,,,,,,,,,,,,,,,
WG3C,manip,south,Potentilla,29,H,open-hand,7/29/19,,,,,,,,,,19,,0.004,42,,0.014,
WG3C,manip,south,Potentilla,4,F,open,7/25/19,,20,,,,,,,,,,,108,,0.036,
WG3C,manip,south,Potentilla,8,J,open,7/25/19,,,,,,,,,,,,,238,,0.089,
WG3C,manip,south,Potentilla,10,H,open,7/29/19,,,,,,,,,,,,,12,,0,
WG3C,manip,south,Potentilla,13,H,open,7/25/19,,17,,,,,,,,,,,202,,0.054,
WG3C,manip,south,Potentilla,16,P,open,,7/25/19,,,,,,,,,,,,34,,0.025,
WG3C,manip,south,Potentilla,21,P,open,7/25/19,,,,,,,,,,,,,557,,0.184,
WG3C,manip,south,Potentilla,28,D,open,7/29/19,,,,,,,,,,,,,30,,0.024,
WG3C,manip,south,Potentilla,29,J,open,7/25/19,,,,,,,,,,,,,113,,0.041,
WG3C,control,north,Potentilla,3,A,open-hand,7/25/19,,,,,,,,,4,58,,0.018,204,,0.102,
WG3C,control,north,Potentilla,5,H,open-hand,7/29/19,8/2/19,,,,,,,,,,,,21,,0.002,1 sharp mixed in
WG3C,control,north,Potentilla,6,A,open-hand,7/29/19,,,,,,,,,2,25,,0.008,0,,0,
WG3C,control,north,Potentilla,13,C,open-hand,7/25/19,,,,,,,,,,,,,123,,0.061,
WG3C,control,north,Potentilla,14,N,open-hand,7/25/19,,,,,,,,,,,,,112,,0.02,
WG3C,control,north,Potentilla,16,I,open-hand,7/29/19,8/6/19,,,,,,,,,,,,66,,0.012,
WG3C,control,north,Potentilla,18,I,open-hand,,8/6/19,13,,,,,,,8,171,,0.034,81,,0.036,
WG3C,control,north,Potentilla,14,G,open-hand,7/29/19,,,,,,,,,,,,,55,,0.013,
WG3C,control,north,Potentilla,3,E,open,7/25/19,,,,,,,,,,,,,128,,0.083,
WG3C,control,north,Potentilla,5,K,open,,,,,,,,,,,,,,0,,0,
WG3C,control,north,Potentilla,6,F,open,7/29/19,,,,,,,,,,,,,19,,0.001,
WG3C,control,north,Potentilla,13,K,open,7/25/19,,,,,,,,,,,,,0,,0,
WG3C,control,north,Potentilla,14,O,open,7/25/19,8/6/19,6,,,,,,,,,,,48,,0.01,
WG3C,control,north,Potentilla,17,L,open,,,,,,,,,,,,,,45,,0.005,
WG3C,control,north,Potentilla,18,J,open,7/25/19,,,,,,,,,,,,,170,,0.054,
WG3C,control,north,Potentilla,13,E,open,7/29/19,,,,,,,,,,,,,0,,0,
AveryPicnic,manip,north,Potentilla,9,N,open,,,,,,,,,,,,,,118,,0.035,
AveryPicnic,control,south,Potentilla,10,D,open-hand,,,,,,,,,,,,,,326,,0.065,
AveryPicnic,manip,north,Potentilla,3,B,open,,,,,,,,,,,,,,78,,0.017,
Pfieler,control,south,Potentilla,24,J,open-hand,,,,,,,,,,,,,,64,,0.008,
Pfieler,control,south,Potentilla,2,I,open,,,,,,,,,,,,,,97,,0.018,
Pfieler,control,south,Potentilla,30,B,open,,,,,,,,,,,,,,32,,0.006,
Pfieler,control,south,Potentilla,5,F,,,,,,,,,,,,,,,116,,0.038,
Pfieler,control,south,Potentilla,28,J,open-hand,,,,,,,,,,,,,,102,,0.026,
RustlersGulch,control,south,Potentilla,27,N,open,,,,,,,,,,,,,,44,,0.007,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,