"","site","plot.treat","quad","effect.start","effect.middle","effect.end","mean","rate","effect.min","end","range"
"1","403Bench","control",1,12.7,12.9,6.8,10.8,-1.96666666666667,6.8,9.8,5.9
"2","403Bench","control",6,8.2,6,6.7,6.96666666666667,-0.5,6.7,9.9,1.5
"3","403Bench","control",12,9.5,11,6.3,8.93333333333333,-1.06666666666667,6.3,10.8,3.2
"4","403Bench","control",15,10.1,7.9,4.8,7.6,-1.76666666666667,4.8,8.7,5.3
"5","403Bench","control",18,9.4,11.7,6.3,9.13333333333333,-1.03333333333333,6.3,13.4,3.1
"6","403Bench","control",24,10.3,8.9,6.2,8.46666666666667,-1.36666666666667,6.2,12.5,4.1
"7","403Bench","control",30,12,11.4,6.6,10,-1.8,6.6,8.1,5.4
"8","403Bench","manip",1,18.9,11.7,11.9,14.1666666666667,-2.33333333333333,5.7,10.8,13.2
"9","403Bench","manip",6,13,8.3,6.9,9.4,-2.03333333333333,5.6,9.5,7.4
"10","403Bench","manip",12,16.5,7.8,8.2,10.8333333333333,-2.76666666666667,7.5,12.7,9
"11","403Bench","manip",15,19.3,10.2,9.8,13.1,-3.16666666666667,6.3,12.3,13
"12","403Bench","manip",18,20.2,10.4,7.9,12.8333333333333,-4.1,7.7,8.7,12.5
"13","403Bench","manip",24,12.1,8.2,3.9,8.06666666666666,-2.73333333333333,3.2,10.4,8.9
"14","403Bench","manip",30,13.5,7.6,6.1,9.06666666666667,-2.46666666666667,4.4,11.2,9.1
"15","AveryPicnic","control",1,13,11.3,8.6,10.9666666666667,-1.46666666666667,1.7,11.1,11.3
"16","AveryPicnic","control",6,14.1,15.4,6.6,12.0333333333333,-2.5,13,18.3,1.1
"17","AveryPicnic","control",12,13.8,9,10.5,11.1,-1.1,10.8,11.7,3
"18","AveryPicnic","control",15,13.7,11.4,9.4,11.5,-1.43333333333333,10.1,12.6,3.6
"19","AveryPicnic","control",18,14.3,8.5,11.1,11.3,-1.06666666666667,10.3,8.5,4
"20","AveryPicnic","control",24,14.5,8.7,9.1,10.7666666666667,-1.8,10,9.8,4.5
"21","AveryPicnic","control",30,13.8,8.7,8.4,10.3,-1.8,7.3,13.2,6.5
"22","AveryPicnic","manip",1,16.2,16.6,11.1,14.6333333333333,-1.7,11.1,22,5.1
"23","AveryPicnic","manip",6,12.6,12,9.4,11.3333333333333,-1.06666666666667,7.7,17.4,4.9
"24","AveryPicnic","manip",12,11.6,11.3,5.4,9.43333333333333,-2.06666666666667,7.5,12,4.1
"25","AveryPicnic","manip",15,13.9,13.1,9.9,12.3,-1.33333333333333,9.4,10.8,4.5
"26","AveryPicnic","manip",18,10.1,22.8,13.3,15.4,1.06666666666667,10.5,10,-0.4
"27","AveryPicnic","manip",24,13,14.9,14.4,14.1,0.466666666666667,11,10.4,2
"28","AveryPicnic","manip",30,15.8,25.7,16.5,19.3333333333333,0.233333333333333,16.5,15.9,-0.699999999999999
"29","BellviewBench","control",1,10.5,7.2,6.7,8.13333333333333,-1.26666666666667,7.2,6.9,3.3
"30","BellviewBench","control",6,7.1,7.8,11.9,8.93333333333333,1.6,7.8,8.5,-0.7
"31","BellviewBench","control",12,11.4,8.9,12.9,11.0666666666667,0.5,8.9,7.8,2.5
"32","BellviewBench","control",15,6.7,7.7,20.2,11.5333333333333,4.5,7.7,5.6,-1
"33","BellviewBench","control",18,7.9,6.4,8.3,7.53333333333333,0.133333333333333,6.4,5.9,1.5
"34","BellviewBench","control",24,5,4,9.1,6.03333333333333,1.36666666666667,4,4.9,1
"35","BellviewBench","control",30,8.8,4.3,9.3,7.46666666666667,0.166666666666667,4.3,8.4,4.5
"36","BellviewBench","manip",1,14.4,8.5,6.5,9.8,-2.63333333333333,6.5,7,7.9
"37","BellviewBench","manip",6,10.6,8.7,10.3,9.86666666666667,-0.0999999999999996,10.3,5.6,0.299999999999999
"38","BellviewBench","manip",12,12.5,6.9,5,8.13333333333333,-2.5,5,7.1,7.5
"39","BellviewBench","manip",15,13.8,9.3,7.6,10.2333333333333,-2.06666666666667,7.6,5.8,6.2
"40","BellviewBench","manip",18,9.2,7.1,7.8,8.03333333333333,-0.466666666666667,7.8,5,1.4
"41","BellviewBench","manip",24,14.9,13.7,9.5,12.7,-1.8,9.5,8.4,5.4
"42","BellviewBench","manip",30,9.7,9.6,8.2,9.16666666666667,-0.5,8.2,8.4,1.5
"43","Meridian","control",1,10.9,15.5,5,10.4666666666667,-1.96666666666667,6,5.5,4.9
"44","Meridian","control",6,26.5,21.9,9.7,19.3666666666667,-5.6,7.9,10.7,18.6
"45","Meridian","control",12,25,16,9.5,16.8333333333333,-5.16666666666667,8.1,9,16.9
"46","Meridian","control",15,20.5,15.9,10.3,15.5666666666667,-3.4,5.4,7.6,15.1
"47","Meridian","control",18,23.5,21.2,12.9,19.2,-3.53333333333333,5.1,11.8,18.4
"48","Meridian","control",24,13.1,17.7,6.8,12.5333333333333,-2.1,7,8.5,6.1
"49","Meridian","control",30,12.9,15.3,7.7,11.9666666666667,-1.73333333333333,5.4,6.4,7.5
"50","Meridian","manip",1,15,21.5,17.3,17.9333333333333,0.766666666666667,4,8.5,11
"51","Meridian","manip",6,24.4,20.2,16.2,20.2666666666667,-2.73333333333333,7.1,7.7,17.3
"52","Meridian","manip",12,18.6,24,18.6,20.4,0,7.9,11,10.7
"53","Meridian","manip",15,22.1,23.6,17.3,21,-1.6,7.8,14.3,14.3
"54","Meridian","manip",18,22,23,18.7,21.2333333333333,-1.1,6.8,7.4,15.2
"55","Meridian","manip",24,16,22.8,18.1,18.9666666666667,0.700000000000001,6.7,9.4,9.3
"56","Meridian","manip",30,11.8,16.3,9.1,12.4,-0.9,4,6.2,7.8
"57","Pfeiler","control",1,15.5,10.7,10.6,12.2666666666667,-1.63333333333333,6.9,11.3,8.6
"58","Pfeiler","control",6,16.5,11.1,11.2,12.9333333333333,-1.76666666666667,9.4,12,7.1
"59","Pfeiler","control",12,19.2,10.3,11.7,13.7333333333333,-2.5,9.9,10.2,9.3
"60","Pfeiler","control",15,20.7,11.3,11.3,14.4333333333333,-3.13333333333333,9.9,12,10.8
"61","Pfeiler","control",18,23.9,10.1,11.5,15.1666666666667,-4.13333333333333,8.4,13.9,15.5
"62","Pfeiler","control",24,22.1,12,8.4,14.1666666666667,-4.56666666666667,10.3,13.7,11.8
"63","Pfeiler","control",30,18.4,9.7,12.4,13.5,-2,12,9,6.4
"64","Pfeiler","manip",1,26.6,15.7,12.6,18.3,-4.66666666666667,8.3,12.3,18.3
"65","Pfeiler","manip",6,25.4,20.1,12,19.1666666666667,-4.46666666666667,10.3,16.4,15.1
"66","Pfeiler","manip",12,20.9,18.9,19.5,19.7666666666667,-0.466666666666666,7.7,10.1,13.2
"67","Pfeiler","manip",15,22.8,18.4,12.9,18.0333333333333,-3.3,9.4,10.1,13.4
"68","Pfeiler","manip",18,33.2,14.7,12.9,20.2666666666667,-6.76666666666667,9.4,12.9,23.8
"69","Pfeiler","manip",24,23.6,19,14.2,18.9333333333333,-3.13333333333333,9.4,12.1,14.2
"70","Pfeiler","manip",30,29.6,17.2,15.8,20.8666666666667,-4.6,8.6,9.2,21
"71","RustlersGulch","control",1,25.8,15.8,14.3,18.6333333333333,-3.83333333333333,9.5,16.1,16.3
"72","RustlersGulch","control",6,17.7,17.6,7.5,14.2666666666667,-3.4,6.1,10.1,11.6
"73","RustlersGulch","control",12,11.9,11.6,8.5,10.6666666666667,-1.13333333333333,7.2,12.3,4.7
"74","RustlersGulch","control",15,15.5,11.5,8.5,11.8333333333333,-2.33333333333333,6.7,9.4,8.8
"75","RustlersGulch","control",18,19.4,17,13.6,16.6666666666667,-1.93333333333333,10.5,10.7,8.9
"76","RustlersGulch","control",24,15.9,12.6,11.3,13.2666666666667,-1.53333333333333,7.7,14.1,8.2
"77","RustlersGulch","control",30,21.1,23.2,12.6,18.9666666666667,-2.83333333333333,11.5,12.6,9.6
"78","RustlersGulch","manip",1,30.1,14.1,10.9,18.3666666666667,-6.4,7.1,12.7,23
"79","RustlersGulch","manip",6,27.2,15.6,11.9,18.2333333333333,-5.1,8.6,8.1,18.6
"80","RustlersGulch","manip",12,18.7,14.7,13.8,15.7333333333333,-1.63333333333333,9,9.9,9.7
"81","RustlersGulch","manip",15,23,15.1,11.3,16.4666666666667,-3.9,9.5,8.8,13.5
"82","RustlersGulch","manip",18,22.3,13.8,14.9,17,-2.46666666666667,12.4,9.8,9.9
"83","RustlersGulch","manip",24,23.3,16.3,11.7,17.1,-3.86666666666667,7.7,11.2,15.6
"84","RustlersGulch","manip",30,28.8,19.4,17.2,21.8,-3.86666666666667,12.1,12.1,16.7
"85","StupidFalls","control",1,20.2,23.9,13.5,19.2,-2.23333333333333,6.8,12,13.4
"86","StupidFalls","control",6,18.8,23.4,15.9,19.3666666666667,-0.966666666666667,8.9,11,9.9
"87","StupidFalls","control",12,23.4,20.5,14.7,19.5333333333333,-2.9,8.9,13.2,14.5
"88","StupidFalls","control",15,18.7,20.5,12.1,17.1,-2.2,9.8,8.2,8.9
"89","StupidFalls","control",18,17.7,21,16.5,18.4,-0.4,8,11.8,9.7
"90","StupidFalls","control",24,21.4,24.6,15.9,20.6333333333333,-1.83333333333333,9.4,15.5,12
"91","StupidFalls","control",30,15.8,21,13.6,16.8,-0.733333333333334,6.9,10.1,8.9
"92","StupidFalls","manip",1,26.1,26.2,27.2,26.5,0.366666666666666,11,11.9,15.1
"93","StupidFalls","manip",6,10.5,17.1,24.2,17.2666666666667,4.56666666666667,11.3,11.6,-0.800000000000001
"94","StupidFalls","manip",12,20.7,19.6,20.6,20.3,-0.0333333333333326,8.3,6.5,12.4
"95","StupidFalls","manip",15,21.8,15.8,20.8,19.4666666666667,-0.333333333333333,8.9,7.7,12.9
"96","StupidFalls","manip",18,26.4,17.7,22.5,22.2,-1.3,5.4,12.5,21
"97","StupidFalls","manip",24,27.8,23.6,22.5,24.6333333333333,-1.76666666666667,11.1,13.3,16.7
"98","StupidFalls","manip",30,24.7,24,23.5,24.0666666666667,-0.4,10.2,12.7,14.5
"99","WG3C","control",1,26.9,12.6,8.1,15.8666666666667,-6.26666666666667,5.2,11.1,21.7
"100","WG3C","control",6,16.9,16.1,10.2,14.4,-2.23333333333333,6.5,8.8,10.4
"101","WG3C","control",12,25.8,16.7,9.2,17.2333333333333,-5.53333333333333,8.4,13.3,17.4
"102","WG3C","control",15,27.6,21.7,11.8,20.3666666666667,-5.26666666666667,5,11.8,22.6
"103","WG3C","control",18,20.6,12.1,10.7,14.4666666666667,-3.3,5.8,9.3,14.8
"104","WG3C","control",24,20.1,13.9,11.4,15.1333333333333,-2.9,4.2,7.6,15.9
"105","WG3C","control",30,25.5,18.3,8.7,17.5,-5.6,7.2,6.5,18.3
"106","WG3C","manip",1,17,20.7,13.1,16.9333333333333,-1.3,4.7,8.7,12.3
"107","WG3C","manip",6,9.9,15.9,15.4,13.7333333333333,1.83333333333333,6.7,7.6,3.2
"108","WG3C","manip",12,14.3,14,14.2,14.1666666666667,-0.0333333333333338,8.7,7.3,5.6
"109","WG3C","manip",15,11.9,16.4,8.9,12.4,-1,6.2,7.9,5.7
"110","WG3C","manip",18,13.2,17.9,12.5,14.5333333333333,-0.233333333333333,8,10.9,5.2
"111","WG3C","manip",24,15.3,24.4,13.2,17.6333333333333,-0.700000000000001,6.7,11,8.6
"112","WG3C","manip",30,12.3,13.7,12,12.6666666666667,-0.1,6.6,9.5,5.7
